Barkod,Kore Trendleri,Kategori,Marka,UrunAdi,psf,indirimli fiyat,Stok
8800256119219,,Cilt Bakımı,Medicube,PDRN Pink Tone Up Sun Cream (Somon PDRN ve Glutatyon İçeren Ton Eşitleyici Güneş Kremi) 50ml,850.00,595.00,10
8809936587119,,Cilt Bakımı,Medicube,Red Acne Body Wash (Vücut Aknesi ve Gözenek Önleyici Niacinamide ve Salisilik Asitli Vücut Temizleyicisi ) 400g,"1,519.00","1,063.00",9
8809921779093,,Cilt Bakımı,Medicube,Red Erasing Cream (Kızarıklık Karşıtı Nemlendirici Krem),"1,140.00",798.00,10
8800256112487,,Saç Bakımı,Medicube,Soymint Scaling Shampoo (Yağlı Saç Derisi ve Kepek Karşıtı Arındırıcı Nane ve Oksijenli Şampuan) 490ml,"1,399.00",979.00,2
8800256114313,,Cilt Bakımı,Medicube,Triple Collagen Cream (Yaşlanma ve Leke Karşıtı Kolajenli Krem) 50ml,"1,601.00","1,121.00",10
8800256114351,,Cilt Bakımı,Medicube,Triple Collagen Serum (Üçlü Kolajen Serum) 55ml,"1,260.00",882.00,10
8800256114320,,Cilt Bakımı,Medicube,Triple Collagen Toner (Üçlü Kolajen Tonik) 140ml,"1,140.00",798.00,10
8800256119134,,Cilt Bakımı,Medicube,TXA Niacinamide Serum (Koyu Leke Önleyici ve Parlatıcı %5 TXA ve %10 Niacinamide İçeren Serum) 30ml,"1,140.00",798.00,39
8800256114610,,Cilt Bakımı,Medicube,Zero Pore Blackhead Deep Cleansing Oil (Siyah Nokta Giderici Derin Temizleyici Yağ),"1,001.00",701.00,38
8800256119226,,Cilt Bakımı,Medicube,Zero Pore Clear Capsule Cleansing Foam,900.00,630.00,10
8809982769828,,Cilt Bakımı,Medicube,Zero Pore One Day Serum (Gözenek Sıkılaştırıcı Serum),"1,490.00","1,043.00",10
8809517414315,,Cilt Bakımı,Medicube,Zero Pore Pad Mild (Gözenek Sıkılaştırıcı ve Temizleyici Ped),"1,399.00",979.00,188
8800256114283,,Cilt Bakımı,Medicube,Zero Pore Serum (Gözenek Karşıtı Serum),"1,560.00","1,092.00",10
8809982769903,,Cilt Bakımı,Medicube,Collagen Jelly Cream (Cilt Parlaklığını Arttırıcı ve Elastikiyet Koruyucu Kolajenli Jel Krem) 50ml,"1,519.00","1,063.00",184
8809517411741,,Mask Bar,Medicube,Collagen Lifting Mask (Nemlendirici ve Lifting Etkili Maske) 27gr,249.00,174.00,241
8809982769941,,Mask Bar,Medicube,Deep Vita C Daily Quick 30 Sheet Masks (C Vitamini ve Niasinamid İçeren Aydınlatıcı ve Nemlendirici Vegan Yüz Maskeleri),"1,699.00","1,189.00",10
8800256112159,Kore Trendleri,Cilt Bakımı,Medicube,Exosome Cica Calming Toner (Dengeleyici ve Arındırıcı Nano-Eksozom Cica & Çay Ağacı Sulu Tonik) 210ml,"1,519.00","1,063.00",500
8800256112234,,Cilt Bakımı,Medicube,PDRN Pink Cica Soothing Toner (Leke ve Donuk Görünüm Önleyici PDRN Toniği) 250ml,"1,140.00",798.00,273
8809982769897,,Mask Bar,Medicube,Super Cica Daily Quick Mask (30lu) (Besleyici ve Stres Karşıtı Günlük Cica Maskesi) 350gr,249.00,174.00,465
8800256119660,,Cilt Bakımı,Medicube,TXA Niacinamide Capsule Cream (Koyu Leke Önleyici ve Parlatıcı Traneksamik Asit ve Niacinamide İçeren Kapsül Krem) 55g,"1,841.00","1,289.00",325
8809960356767,,Mask Bar,Medicube,Zero Pore Blackhead Mud Mask (Siyah Nokta ve Pürüz Karşıtı Arındırıcı Asitli Kil Maskesi) 100gr,"1,063.00",744.00,10
